review_id,product_id,customer_id,rating,review_text,review_date,helpful_count,verified_purchase
1,1,1,5,"Amazing phone! The camera quality is outstanding.",2024-01-20 10:30:00,12,1
2,1,5,4,"Great phone but battery could be better.",2024-01-25 14:15:00,8,1
3,4,2,5,"Perfect fit and very comfortable for running.",2024-01-18 16:45:00,15,1
4,4,7,4,"Good quality shoes, fast delivery.",2024-01-22 11:20:00,6,1
5,7,6,5,"This coffee machine is a game changer! Perfect coffee every morning.",2024-02-12 09:30:00,23,1
6,9,4,5,"Love this book collection! Great stories for kids.",2024-01-19 13:45:00,9,1
7,11,10,4,"Good yoga mat, non-slip surface works well.",2024-02-01 08:20:00,7,1
8,15,12,5,"Kids absolutely love this LEGO set!",2024-02-18 15:30:00,18,1
9,16,13,5,"PlayStation 5 is incredible! Graphics are amazing.",2024-02-20 19:45:00,45,1
10,21,8,4,"Great headphones for the price, good sound quality.",2024-02-05 12:10:00,11,1
11,2,3,4,"Samsung Galaxy is solid, good alternative to iPhone.",2024-01-30 17:25:00,14,1
12,3,1,5,"MacBook Pro is perfect for my work needs.",2024-02-15 10:15:00,28,1
13,6,11,3,"Jeans are okay, but sizing runs small.",2024-01-28 14:50:00,4,1
14,8,5,5,"Beautiful dining table set, great quality wood.",2024-02-25 16:40:00,19,1
15,12,9,4,"Tennis racket has good balance and control.",2024-02-08 11:30:00,8,1
16,13,14,5,"Vitamin D3 supplements are high quality.",2024-01-25 09:15:00,6,1
17,17,15,5,"Best coffee beans I've ever tried!",2024-01-10 07:45:00,21,1
18,19,16,4,"Car battery works perfectly, good value.",2024-02-16 13:20:00,9,1
19,22,17,5,"Vinyl record player has amazing sound quality.",2024-02-22 20:30:00,16,1
20,25,18,4,"Winter jacket is warm and stylish.",2024-02-04 12:55:00,12,1
