customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_admin_tickets,num_tech_tickets,churn
CHURN00001,Female,0,Yes,Yes,2,No,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,144.39,260.7,7,6,Yes
CHURN00002,Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,No,No,No,No internet service,Yes,Two year,No,Credit card,32.99,1195.36,4,6,No
CHURN00003,Female,0,No,No,36,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card,195.51,6343.07,4,10,Yes
CHURN00004,Male,0,No,No,48,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,One year,Yes,Bank transfer,135.94,6875.01,8,14,Yes
CHURN00005,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,No,Credit card,191.83,1998.57,2,12,No
CHURN00006,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Two year,No,Bank transfer,79.09,2510.0,0,2,No
CHURN00007,Female,1,Yes,Yes,47,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Credit card,77.65,3959.23,0,13,No
CHURN00008,Female,0,Yes,Yes,41,No,No phone service,No,No internet service,No,No internet service,Yes,No,Yes,Two year,Yes,Bank transfer,118.64,4561.13,5,12,Yes
CHURN00009,Male,0,Yes,Yes,44,No,No,No,Yes,Yes,No,Yes,No internet service,No,Two year,Yes,Electronic check,173.85,7603.14,10,11,Yes
CHURN00010,Male,0,No,No,32,No,No,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,199.12,5960.75,6,2,Yes
CHURN00011,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,No,Two year,No,Bank transfer,93.58,2693.25,9,12,Yes
CHURN00012,Female,1,No,Yes,50,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,No,One year,No,Electronic check,45.26,2248.46,3,2,Yes
CHURN00013,Female,0,Yes,Yes,46,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,One year,No,Mailed check,37.31,1444.49,2,10,No
CHURN00014,Male,0,Yes,Yes,34,No,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card,180.36,6901.85,0,11,No
CHURN00015,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer,194.79,5991.77,5,13,No
CHURN00016,Female,1,Yes,Yes,18,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Credit card,137.19,2822.42,0,6,No
