product_id,product_name,category,subcategory,brand,unit_cost,unit_price,margin_percent,weight_kg,stock_quantity,reorder_level,supplier_id,is_active,launch_date
PROD00001,NaturalStyle Furniture Product 1,Home & Garden,Furniture,NaturalStyle,346.61,586.95,69.3,29.38,481,51,SUP028,True,2022-05-26
PROD00002,FashionPlus Kids Product 2,Clothing,Kids,FashionPlus,238.6,322.91,35.3,26.6,378,37,SUP022,True,2021-09-18
PROD00003,NaturalStyle Kitchen Product 3,Home & Garden,Kitchen,NaturalStyle,206.3,283.12,37.2,32.04,422,27,SUP014,True,2023-02-26
PROD00004,StyleHub Women Product 4,Clothing,Women,StyleHub,338.34,455.44,34.6,19.94,651,42,SUP032,True,2021-05-27
PROD00005,ComfortFit Kids Product 5,Clothing,Kids,ComfortFit,365.54,560.06,53.2,13.77,439,41,SUP030,False,2022-10-16
PROD00006,GadgetMax Video Product 6,Electronics,Video,GadgetMax,249.82,369.3,47.8,1.02,583,43,SUP045,True,2024-10-07
PROD00007,NaturalStyle Kitchen Product 7,Home & Garden,Kitchen,NaturalStyle,68.84,90.01,30.8,14.45,552,60,SUP001,True,2023-09-05
PROD00008,UrbanStyle Women Product 8,Clothing,Women,UrbanStyle,405.62,617.98,52.4,29.6,462,10,SUP017,True,2020-11-11
PROD00009,NaturalStyle Garden Product 9,Home & Garden,Garden,NaturalStyle,33.87,56.14,65.7,32.39,5,66,SUP043,True,2020-06-08
PROD00010,DigiWorld Computers Product 10,Electronics,Computers,DigiWorld,205.38,293.01,42.7,26.96,408,14,SUP050,True,2023-11-22
PROD00011,GardenPro Kitchen Product 11,Home & Garden,Kitchen,GardenPro,201.34,285.96,42.0,12.41,316,50,SUP018,True,2022-08-02
PROD00012,NaturalStyle Garden Product 12,Home & Garden,Garden,NaturalStyle,307.0,511.82,66.7,45.66,639,14,SUP006,True,2022-10-11
PROD00013,TechCorp Accessories Product 13,Electronics,Accessories,TechCorp,491.54,688.4,40.0,9.53,783,59,SUP011,False,2020-02-05
PROD00014,FashionPlus Sports Product 14,Clothing,Sports,FashionPlus,21.78,37.87,73.9,27.49,935,27,SUP015,True,2023-10-05
PROD00015,ModernHome Garden Product 15,Home & Garden,Garden,ModernHome,361.57,642.83,77.8,12.32,596,98,SUP040,True,2022-01-28
PROD00016,FashionPlus Accessories Product 16,Clothing,Accessories,FashionPlus,323.17,489.63,51.5,19.95,100,88,SUP012,False,2023-12-19
